이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Jan-Paul VAN HECKE,Netherlands,189,14,6,13,5,10,14,15,14,12,13,15,14,15,17,16,15
Justin Dean KLUIVERT,Netherlands,173,17,14,16,13,10,14,7,8,17,16,7,12,3,6,6,12
Ryan Jiro GRAVENBERCH,Netherlands,190,16,9,15,10,11,15,12,13,15,14,12,15,12,13,14,16
Wout François Maria WEGHORST,Netherlands,197,13,15,11,8,6,12,16,16,10,11,17,16,7,8,6,15
Memphis DEPAY,Netherlands,178,17,14,15,14,13,15,10,15,14,15,9,14,3,3,5,13
Cody Mathès GAKPO,Netherlands,193,15,13,15,14,13,14,13,13,15,14,13,15,9,8,10,14
Mats Henrik Berne WIEFFER,Netherlands,188,13,6,11,12,7,13,13,11,13,13,15,15,12,15,12,14
Robin Gerardus Petrus ROEFS,Netherlands,193,13,2,2,3,3,7,5,9,12,16,15,12,1,2,13,13
Tijjani Martinus Jan REIJNDERS,Netherlands,185,15,14,14,15,12,15,11,12,14,14,11,14,10,8,11,14
Micky VAN DE VEN,Netherlands,193,13,7,13,7,11,13,13,15,16,20,15,14,14,16,14,15
Guus Berend TIL,Netherlands,186,13,14,12,12,11,12,12,13,13,12,13,14,7,6,7,16
Noa Noëll LANG,Netherlands,170,15,13,15,14,14,14,9,10,15,14,10,11,6,6,6,12
Donyell MALEN,Netherlands,176,14,15,15,13,11,12,12,12,16,16,8,13,6,6,6,14
Brian Ebenezer Adjei BROBBEY,Netherlands,180,14,13,11,12,6,11,7,18,14,14,12,16,5,4,5,13
Teun KOOPMEINERS,Netherlands,184,14,13,12,16,14,15,10,14,12,12,12,15,11,14,14,14
Frenkie DE JONG,Netherlands,182,17,11,17,10,14,17,9,11,13,13,9,15,9,12,14,16
Denzel Justus Morris DUMFRIES,Netherlands,188,12,15,12,13,13,12,17,17,17,18,17,18,10,14,11,14
Mark Maria Hubertus FLEKKEN,Netherlands,194,13,2,2,2,2,13,4,15,8,9,17,13,3,1,14,13
Crysencio Jilbert Sylverio Cir SUMMERVILLE,Netherlands,174,13,14,16,13,12,11,5,5,18,16,5,14,4,5,4,13
Jorrel Evan HATO,Netherlands,182,14,7,10,10,12,12,12,13,14,14,12,15,13,13,14,11
Quinten Ryan Crispito TIMBER,Netherlands,177,14,8,13,10,10,13,8,14,14,14,11,14,11,12,12,14
Maxime Teremoana CROCOMBE,New Zealand,194,8,3,2,1,3,8,3,13,11,11,16,11,3,3,12,12
Timothy John PAYNE,New Zealand,179,11,9,10,9,14,13,12,13,10,9,10,12,11,14,13,13
Francis DE VRIES,New Zealand,188,10,5,8,9,14,13,11,12,11,12,12,12,11,12,12,11
Tyler Grant BINDON,New Zealand,190,12,7,7,8,7,11,14,13,11,14,15,10,14,12,12,12
Michael Joseph BOXALL,New Zealand,188,8,5,9,5,3,8,14,16,10,11,15,13,12,14,13,13
Joe Zen Robert BELL,New Zealand,182,11,8,11,9,10,12,6,12,11,12,10,14,11,14,15,14
Logan Tipene ROGERSON,New Zealand,182,13,11,13,12,9,8,8,10,15,14,9,12,6,7,6,9
Marko Seufatu Nikola STAMENIC,New Zealand,188,14,9,11,8,9,13,12,13,11,14,14,9,12,13,12,12
Christopher Grant WOOD,New Zealand,191,13,13,11,11,9,13,15,15,12,11,16,16,7,9,11,14
Sarpreet SINGH,New Zealand,175,14,10,13,11,12,14,6,8,12,12,10,12,8,10,8,10
Elijah Henry JUST,New Zealand,174,12,9,13,10,11,12,6,9,13,12,7,11,5,5,6,9
Alexander Noah PAULSEN,New Zealand,184,9,2,7,3,2,13,6,10,10,9,12,11,2,2,13,12
Liberato Gianpaolo CACACE,New Zealand,183,13,9,13,12,14,13,11,10,14,14,10,14,11,13,12,11
Alex Arthur RUFER,New Zealand,184,13,10,10,13,10,14,9,13,9,8,11,12,9,14,13,13
Nando Zen PIJNAKER,New Zealand,191,11,7,7,10,8,12,12,14,10,11,15,13,13,13,12,11
Finn SURMAN,New Zealand,190,10,5,8,3,4,10,13,14,10,12,14,11,13,14,12,12
Kosta BARBAROUSES,New Zealand,171,14,13,12,9,12,8,5,8,14,13,6,11,5,8,6,13
Benjamin Peter WAINE,New Zealand,179,12,12,12,12,11,11,12,14,15,16,15,12,7,9,12,13
Benjamin Craig OLD,New Zealand,173,13,11,14,10,12,11,5,8,14,13,4,14,5,8,6,11
Callum William MCCOWATT,New Zealand,179,13,12,12,11,12,12,10,9,13,13,9,11,4,7,6,13
Jesse Carmichael RANDALL,New Zealand,176,11,10,11,7,8,8,7,6,14,15,10,10,4,4,4,9
Michael Cornelis WOUD,New Zealand,196,5,3,1,1,3,9,2,11,8,13,10,11,2,1,10,11
Ryan Jared THOMAS,New Zealand,174,15,6,14,10,11,15,10,9,12,12,9,12,7,5,10,13
Callan Rennie ELLIOT,New Zealand,177,12,8,12,9,11,10,6,8,13,11,7,10,10,12,9,10
Lachlan Ryan BAYLISS,New Zealand,178,13,10,14,8,10,9,8,6,12,10,9,10,8,8,6,10
Thomas Jefferson SMITH,New Zealand,188,6,6,5,4,5,9,11,13,5,5,10,12,11,11,13,10
Ørjan Haskjold NYLAND,Norway,192,11,3,5,5,8,13,5,14,11,12,16,13,3,7,13,13
Morten THORSBY,Norway,188,12,11,10,8,7,12,16,15,12,12,16,15,14,14,13,13
Kristoffer Vassbakk Köpp AJER,Norway,198,13,10,12,8,8,13,15,14,13,13,16,13,14,14,13,14
Leo Skiri ØSTIGÅRD,Norway,182,10,6,8,7,7,11,16,16,12,12,16,14,14,14,14,14
David Møller WOLFE,Norway,185,12,8,13,8,13,12,9,11,13,14,12,12,12,12,12,12
Patrick BERG,Norway,178,14,10,10,13,12,13,7,12,10,10,7,14,14,13,17,17
Alexander SØRLOTH,Norway,196,13,16,13,12,7,12,15,16,13,15,16,16,6,6,7,13
Sander Gard Bolin BERGE,Norway,195,14,10,13,11,11,15,9,13,13,13,12,14,11,14,13,14
Erling Braut HAALAND,Norway,195,14,18,14,13,10,13,15,17,17,19,18,17,6,7,7,19
Martín ØDEGAARD,Norway,178,19,13,17,16,15,18,8,11,13,13,9,16,9,10,10,18
Jørgen Strand LARSEN,Norway,194,14,14,13,12,6,13,14,16,12,14,16,15,8,5,8,14
Sander TANGVIK,Norway,193,10,3,1,2,3,13,7,10,9,11,12,9,3,3,13,10
Egil SELVIK,Norway,187,10,2,2,1,3,10,9,12,10,9,14,13,3,2,15,14
Fredrik AURSNES,Norway,180,14,9,13,9,13,14,8,12,13,14,11,17,11,10,16,12
Fredrik André BJØRKAN,Norway,180,12,9,14,8,12,11,10,11,16,14,10,14,10,12,11,12
Marcus Holmgren PEDERSEN,Norway,178,13,7,13,8,12,13,7,9,16,17,10,10,10,13,10,10
Torbjørn Lysaker HEGGEM,Norway,192,12,5,8,7,9,10,14,13,14,12,15,14,14,13,15,14
Kristian THORSTVEDT,Norway,189,14,14,13,12,6,14,14,15,12,12,14,15,8,10,12,12
Thelonious Gerard AASGAARD,Norway,188,15,11,14,13,11,13,11,11,13,12,12,14,6,7,8,12
Antonio Eromonsele Nordby NUSA,Norway,183,15,10,16,12,12,12,6,10,16,16,10,12,8,9,8,11
Andreas Rædergård SCHJELDERUP,Norway,177,15,13,14,13,13,14,8,12,14,14,8,14,6,8,7,12
Oscar BOBB,Norway,174,14,11,15,11,9,13,6,8,15,14,8,12,7,6,12,13
Jens Petter HAUGE,Norway,185,13,13,15,12,12,13,9,11,14,14,9,15,8,8,7,13
Sondre Klingen LANGÅS,Norway,190,10,7,9,5,5,10,14,15,12,14,15,14,13,13,15,14
Henrik Sælebakke FALCHENER,Norway,194,11,6,6,11,9,13,14,14,9,12,14,13,14,13,13,13
Julian RYERSON,Norway,183,11,8,12,10,12,12,12,13,13,13,12,15,13,14,13,12
Luis Ricardo MEJÍA CAJAR,Panama,191,9,1,7,12,2,9,3,14,11,14,15,15,2,1,11,12
Cesar Rodolfo BLACKMAN CAMARENA,Panama,174,13,7,14,5,13,13,6,6,16,14,7,8,10,9,7,12
Jose Angel CORDOBA CHAMBERS,Panama,185,10,5,9,8,6,11,13,16,14,15,15,13,13,15,11,13
Fidel ESCOBAR MENDIETA,Panama,182,10,6,7,6,7,12,12,13,12,13,13,8,13,12,12,12
Edgardo Issac FARIÑA WYNTER,Panama,194,11,8,8,7,9,12,14,14,10,12,16,13,10,13,13,13
Cristian Jesus MARTINEZ,Panama,170,12,11,11,9,10,11,9,13,12,12,7,12,8,9,10,12
Jose Luis RODRIGUEZ FRANCIS,Panama,180,12,11,14,7,14,12,11,13,15,15,11,12,7,7,5,12
Adalberto Eliecer CARRASQUILLA ALCAZAR,Panama,170,14,11,15,7,12,13,7,11,14,14,10,12,8,11,13,10
Tomas Abdiel RODRIGUEZ MENA,Panama,183,12,13,12,12,10,11,12,12,12,13,12,12,6,6,8,12
Ismael DIAZ DE LEON,Panama,181,14,14,13,12,9,13,11,15,12,15,12,15,5,6,9,15
Edgar Yoel BARCENAS HERRERA,Panama,175,13,11,11,14,12,12,8,10,12,12,8,10,8,8,12,11
Cesar Jair SAMUDIO MURILLO,Panama,188,4,1,1,1,1,9,1,8,11,13,8,8,1,1,13,10
Jiovany Javier RAMOS DIAZ,Panama,180,11,4,8,8,5,10,13,12,12,13,13,11,12,13,12,12
Carlos Miguel HARVEY CESNEROS,Panama,185,11,8,12,8,8,12,11,14,12,11,12,14,12,13,12,12
Eric Javier DAVIS GRAJALES,Panama,180,12,12,15,7,14,15,14,10,12,11,10,12,9,9,10,14
Andres Alberto ANDRADE CEDEÑO,Panama,187,11,6,11,10,9,11,12,13,14,13,12,12,13,15,14,12
Jose FAJARDO NELSON,Panama,180,11,14,12,9,9,11,15,16,12,13,12,14,7,8,8,14
Cecilio Alfonso WATERMAN RUIZ,Panama,181,10,12,10,11,10,10,13,16,12,11,13,15,6,8,6,13
Alberto Abdiel QUINTERO MEDINA,Panama,165,13,10,15,8,12,12,6,3,16,17,6,9,8,6,9,8
Anibal Casis GODOY LEMUS,Panama,183,14,10,10,11,9,15,13,14,11,10,12,11,13,13,12,14
Cesar Augusto YANIS VELASCO,Panama,160,13,9,12,8,8,11,5,3,14,14,4,10,8,8,6,11
Orlando MOSQUERA,Panama,191,10,2,2,2,1,11,10,12,9,8,14,8,1,2,13,12
Michael Amir MURILLO BERMUDEZ,Panama,183,12,11,11,10,14,14,13,13,14,15,13,12,13,13,13,13
Azarías Emmanuel LONDOÑO GONZALEZ,Panama,185,13,11,14,11,13,12,10,15,14,15,14,15,5,7,8,8
Roderick Alonso MILLER MOLINA,Panama,190,8,7,6,5,5,9,13,15,10,12,15,9,12,12,13,12
Jorge Abdiel GUTIERREZ CORNEJO,Panama,171,11,7,11,8,12,10,8,10,13,12,7,11,8,10,10,12
Roberto Junior FERNANDEZ TORRES,Paraguay,191,10,1,2,1,3,7,4,12,10,10,16,10,2,1,14,13
Victor Gustavo VELAZQUEZ RAMOS,Paraguay,179,7,6,7,6,7,10,16,12,12,12,16,11,14,13,13,14
Omar Federico ALDERETE FERNANDEZ,Paraguay,188,10,6,11,4,8,12,16,16,11,13,16,15,15,16,15,15
Juan Jose CACERES,Paraguay,173,10,12,12,9,13,13,14,8,13,12,10,14,13,15,13,13
Fabián Cornelio BALBUENA GONZÁLEZ,Paraguay,188,9,7,6,6,7,10,14,15,11,12,14,14,15,15,14,15
Júnior Osmar Ignacio ALONSO MUJICA,Paraguay,185,11,8,7,10,12,12,13,13,12,12,12,14,15,13,15,12
Ramón SOSA ACOSTA,Paraguay,178,13,9,15,10,11,11,9,9,16,16,10,11,7,9,9,10
Diego Alexander GOMEZ AMARILLA,Paraguay,183,13,12,12,13,9,14,11,14,13,13,12,13,11,13,12,12
Arnaldo Antonio SANABRIA AYALA,Paraguay,182,14,14,12,11,8,12,16,12,14,13,13,13,5,6,8,13
Miguel Angel ALMIRON REJALA,Paraguay,174,11,11,13,10,10,12,6,10,16,17,6,12,8,12,14,14
Mauricio MAGALHAES PRADO,Paraguay,175,14,12,14,13,12,14,8,7,14,13,8,12,7,8,8,13
Orlando Daniel GILL NOLDIN,Paraguay,198,8,3,1,2,3,10,2,16,7,7,16,13,2,2,13,12
Jose Maria CANALE DOMINGUEZ,Paraguay,187,13,7,13,6,7,12,15,15,13,13,14,14,14,13,13,13
Adrián Andrés CUBAS,Paraguay,169,12,7,10,11,10,14,3,10,14,13,4,8,14,14,13,16
Gustavo Raul GÓMEZ PORTILLO,Paraguay,185,11,7,8,6,9,11,15,16,13,12,14,13,15,15,16,16
Damián Josue BOBADILLA BENITEZ,Paraguay,180,14,14,13,14,11,13,9,10,14,11,9,10,12,11,13,13
Alejandro Sebastian ROMERO GAMARRA,Paraguay,171,14,14,11,9,9,10,9,12,13,12,12,12,9,13,11,10
Alex Adrian ARCE BARRIOS,Paraguay,187,13,16,12,12,8,10,15,16,10,11,15,14,5,5,10,13
Julio Cesar ENCISO ESPINOLA,Paraguay,173,16,14,16,17,12,13,8,12,15,14,7,14,6,7,8,9
Braian Oscar OJEDA RODRIGUEZ,Paraguay,173,11,12,12,11,8,13,12,11,14,12,8,15,11,12,13,12
Gabriel AVALOS STUMPFS,Paraguay,191,11,12,10,10,10,12,13,15,13,13,16,15,6,7,11,13
Gastón Hernán OLVEIRA ECHEVERRIA,Paraguay,191,8,1,1,2,3,9,8,11,14,7,14,12,3,1,13,12
Matias GALARZA FONDA,Paraguay,175,13,9,11,11,10,12,10,9,13,13,9,11,13,12,13,13
Gustavo Ruben CABALLERO GONZALEZ,Paraguay,178,10,12,13,12,10,12,9,12,15,14,9,12,8,8,8,9
Isidro Miguel PITTA SALDIVAR,Paraguay,183,13,14,11,14,9,14,13,15,12,13,13,13,8,12,13,12
Alexandro MAIDANA MENDIETA,Paraguay,178,9,9,12,11,12,9,2,10,15,13,10,7,11,12,11,11
Diogo MEIRELES DA COSTA,Portugal,188,13,2,3,2,2,14,5,12,12,12,13,12,3,1,12,16
Nélson CABRAL SEMEDO,Portugal,177,15,9,14,10,12,12,7,13,16,16,8,14,11,15,12,14
Rúben DOS SANTOS GATO ALVES DIAS,Portugal,187,13,6,12,4,11,14,15,16,13,13,16,12,17,17,17,16
Tomás LEMOS ARAÚJO,Portugal,187,14,7,11,5,9,14,12,12,15,16,13,13,14,16,14,15
José Diogo DALOT TEIXEIRA,Portugal,183,14,8,13,8,13,13,12,14,14,15,13,13,12,13,14,13
Matheus Luiz NUNES,Portugal,184,15,12,14,13,15,13,10,14,14,14,12,13,9,11,12,13
Cristiano Ronaldo DOS SANTOS AVEIRO,Portugal,187,17,18,13,15,11,13,19,15,11,10,15,13,3,5,4,18
Bruno Miguel BORGES FERNANDES,Portugal,179,17,15,11,15,16,18,9,10,13,13,9,13,3,8,7,17
Gonçalo MATIAS RAMOS,Portugal,185,14,15,13,12,10,13,15,14,13,14,13,15,7,8,8,14
Bernardo MOTA VEIGA DE CARVALHO E SILVA,Portugal,173,18,15,17,13,15,17,10,9,13,12,7,16,12,8,13,16
João FÉLIX SEQUEIRA,Portugal,181,18,13,16,13,14,16,10,9,13,13,10,14,4,7,6,14
José Pedro MALHEIRO DE SÁ,Portugal,192,8,2,2,2,3,9,8,12,9,9,13,12,1,2,14,15
Renato DA PALMA VEIGA,Portugal,190,13,7,12,11,9,13,13,14,12,14,14,14,14,15,13,14
Gonçalo BERNARDO INÁCIO,Portugal,185,14,11,12,9,11,15,16,14,12,13,15,14,16,13,15,12
João Pedro GONÇALVES NEVES,Portugal,174,14,11,15,11,12,15,14,13,14,13,12,15,13,15,12,13
Francisco António MACHADO MOTA DE CASTRO TRINCÃO,Portugal,183,17,15,16,15,15,16,9,11,14,13,12,16,6,8,8,13
Rafael Alexandre DA CONCEIÇÃO LEÃO,Portugal,188,14,14,17,13,14,14,11,14,18,17,16,15,3,4,4,13
Pedro LOMBA NETO,Portugal,172,16,13,18,13,14,13,7,7,16,16,7,11,5,5,6,9
Gonçalo Manuel GANCHINHO GUEDES,Portugal,179,14,13,14,13,13,13,8,12,15,15,10,12,7,7,7,13
João Pedro CAVACO CANCELO,Portugal,182,17,12,16,13,16,16,10,12,14,13,11,14,9,13,11,15
Rúben Diogo DA SILVA NEVES,Portugal,180,17,11,12,15,13,17,9,12,12,11,10,14,10,13,14,14
Rui Tiago DANTAS DA SILVA,Portugal,191,10,1,1,3,1,8,8,16,11,12,15,14,2,3,14,10
Vitor MACHADO FERREIRA,Portugal,172,16,12,17,14,13,17,7,11,13,13,8,16,15,14,15,16
Samuel DE ALMEIDA COSTA,Portugal,185,13,10,11,12,8,14,8,14,12,12,12,13,13,16,16,15
Nuno Alexandre TAVARES MENDES,Portugal,180,14,10,15,10,15,14,9,13,18,18,10,14,12,14,13,14
Francisco FERNANDES DA CONCEIÇÃO,Portugal,166,16,13,17,14,13,13,6,10,17,15,7,16,4,8,9,13
Mahmoud Ibrahim M ABUNADA,Qatar,186,9,1,8,1,3,9,1,10,10,10,12,12,1,1,12,10
Pedro Miguel D D CORREIA,Qatar,180,11,8,10,8,9,11,12,13,11,11,12,12,11,13,13,12
Lucas Michel MENDES,Qatar,184,12,8,9,9,10,12,14,15,10,10,12,13,13,13,13,12
Gueye SEYDINAISSALAYE,Qatar,178,12,6,8,8,5,13,14,16,12,13,15,11,13,12,13,11
Jassem Gaber E ABDULSALLAM,Qatar,182,13,7,11,7,8,11,11,11,11,12,11,11,12,12,12,10
Abdelaziz Hatim A MOHAMED,Qatar,182,13,11,10,13,11,14,10,12,9,9,10,12,11,12,13,12
Ahmed Alaaeldin B M ABDELMOTAAL,Qatar,176,11,12,11,11,10,11,13,11,12,11,9,13,8,9,8,11
Edmilson Junior P DASILVA,Qatar,182,15,13,15,13,13,13,8,10,12,13,10,12,6,6,6,12
Mohammed MUNTARI,Qatar,194,13,13,10,10,8,11,13,14,10,14,15,9,6,8,6,12
Hasan Khalid H ALHAYDOS,Qatar,174,16,12,14,12,13,14,7,8,12,8,7,15,6,7,7,13
Akram Hassan A Y AFIF,Qatar,176,16,13,16,12,13,13,4,9,16,14,8,14,4,5,6,12
Karim BOUDIAF,Qatar,190,16,8,10,12,10,14,14,15,9,11,15,10,11,12,13,14
Ayoub Mohamed ALOUI,Qatar,187,12,6,11,9,9,10,12,14,14,13,15,12,12,13,12,8
Homam Elamin M AHMED,Qatar,188,13,8,12,8,11,12,11,13,12,14,13,11,9,10,10,12
Yusuf Abdurisag YUSUF,Qatar,177,11,12,11,10,10,10,9,8,14,11,8,13,9,8,7,10
Boualem KHOUKHI,Qatar,185,12,8,10,8,9,12,14,13,10,11,12,13,13,12,14,13
Ahmed Mohamed H K ALGANEHI,Qatar,175,12,11,13,9,10,11,10,8,15,12,8,14,7,8,7,11
Sultan Hussain M H AL-BRAKE,Qatar,175,12,7,11,11,11,9,12,8,12,11,8,11,11,11,10,11
Almoez Ali Zainelabdeen M ABDULLA,Qatar,180,14,14,14,12,10,12,12,11,14,13,10,12,7,7,7,12
Ahmed Fathy M ABDOULLA,Qatar,171,11,7,8,8,6,12,10,10,11,7,8,14,12,13,13,12
Salah Zakaria M M HASSAN,Qatar,185,9,2,1,3,1,9,2,12,10,10,13,12,3,1,12,11
Meshaal Aissa M BARSHAM,Qatar,180,9,3,8,3,1,10,1,10,9,9,10,12,2,1,13,12
Assim Omer A MADIBO,Qatar,168,11,8,10,9,8,12,10,9,14,7,5,14,12,13,13,12
Tahsin Mohammad JAMSHID,Qatar,166,13,13,10,10,8,11,13,14,10,14,15,9,6,8,6,12
Alhashmi Alhussein A MOHIALDIN,Qatar,184,10,5,9,10,7,10,12,11,11,13,11,11,12,11,13,12
Mohamed Naceur MANAI,Qatar,189,13,10,12,12,8,13,10,13,12,13,12,10,10,11,13,12
Nawaf Dhahi F ALAQIDI,Saudi Arabia,186,9,2,8,2,2,10,2,12,10,11,14,11,1,2,13,12
Ali Hassan M MAJRASHI,Saudi Arabia,169,12,7,11,8,12,11,10,7,16,11,6,15,10,12,10,11
Ali Mohammed A LAJAMI,Saudi Arabia,177,11,6,10,8,7,11,14,12,13,12,10,13,13,14,13,11
Abdulelah Ali A ALAMRI,Saudi Arabia,185,11,6,9,7,7,12,14,13,12,13,12,11,13,14,12,12
Hassan Mohammed O ALTAMBAKTI,Saudi Arabia,182,12,7,10,7,7,12,14,13,12,13,13,11,14,15,14,13
Nasser Essa S ALDAWSARI,Saudi Arabia,178,13,9,11,11,11,13,8,10,12,12,9,12,11,12,11,12
Musab Fahad Z ALJUWAYR,Saudi Arabia,175,16,7,12,12,12,15,9,8,13,10,8,13,8,9,10,14
Aiman Yahya Y AHMED,Saudi Arabia,165,13,10,13,11,10,12,8,9,15,13,7,14,7,7,8,11
Feras Tariq N ALBRIKAN,Saudi Arabia,181,12,14,11,10,9,11,14,12,13,14,11,13,9,9,8,12
Salem Mohammed S ALDAWSARI,Saudi Arabia,172,17,14,17,13,13,14,7,10,15,11,7,16,5,6,7,15
Saleh Khalid M ALSHEHRI,Saudi Arabia,184,12,14,12,8,7,10,13,12,12,12,11,11,8,7,8,13
Saud Abdullah S ABDULHAMID,Saudi Arabia,171,12,7,13,11,14,13,10,10,15,15,7,12,9,12,10,12
Nawaf Meshari M BU WASHL,Saudi Arabia,173,12,7,12,8,11,12,9,8,15,12,7,14,9,9,8,12
Hassan Kadish Y MAHBUB,Saudi Arabia,179,11,5,8,4,11,11,14,12,11,10,11,13,14,14,14,12
Abdullah Mohammed H ALKHAIBARI,Saudi Arabia,175,12,6,10,10,6,13,9,11,14,9,8,14,12,13,14,12
Ziyad Mubarak E ALJOHANI,Saudi Arabia,180,12,7,10,9,10,12,10,9,14,12,9,12,11,12,11,12
Khalid Essa M ALGHANNAM,Saudi Arabia,171,13,9,14,9,10,12,6,7,15,11,7,14,5,6,7,11
Ala Mohsen A ALHAJJI,Saudi Arabia,178,14,7,11,10,10,13,11,11,13,9,8,13,8,10,12,12
Abdullah Abdulrahman A ALHAMDDAN,Saudi Arabia,184,12,13,12,8,9,12,13,13,13,13,14,11,9,7,8,12
Sultan Ahmed M MANDASH,Saudi Arabia,172,15,10,15,10,12,12,5,7,14,10,7,13,6,7,6,12
Mohammed Khalil I ALOWAIS,Saudi Arabia,187,9,3,1,2,3,10,2,11,9,8,11,11,1,3,13,12
Ahmed Ali H ALKASSAR,Saudi Arabia,179,8,3,2,1,2,13,2,10,9,6,9,13,2,1,13,12
Mohamed Ibrahim A KANNO,Saudi Arabia,191,14,9,11,13,8,14,12,14,10,14,15,10,10,13,14,14
Moteb Saad S ALHARBI,Saudi Arabia,172,12,7,12,9,12,13,8,8,15,14,9,13,10,12,10,11
Jehad Abdullatif A THIKRI,Saudi Arabia,183,10,6,9,6,7,11,14,12,13,13,12,11,13,15,13,12
Mohammed Waheeb S ABU ALSHAMAT,Saudi Arabia,170,12,7,12,9,11,12,9,5,16,11,5,15,9,11,10,12
Angus Fraser James GUNN,Scotland,196,12,2,3,3,2,11,4,10,9,7,14,12,2,1,13,13
Aaron Buchanan HICKEY,Scotland,185,13,9,14,13,13,12,11,11,14,14,11,11,12,12,13,13
Andrew Henry ROBERTSON,Scotland,178,14,2,12,5,16,14,10,12,16,15,9,14,14,15,13,14
Scott Francis MCTOMINAY,Scotland,193,13,16,13,14,11,15,18,18,13,14,17,18,11,14,12,15
Grant Campbell HANLEY,Scotland,187,9,6,7,6,5,10,16,15,12,12,14,10,14,15,12,12
Kieran TIERNEY,Scotland,178,13,8,13,10,15,12,12,11,14,14,9,14,13,15,13,13
John MCGINN,Scotland,178,14,14,14,13,12,14,13,15,14,14,9,14,10,12,13,14
Tyler Robert FLETCHER,Scotland,183,12,8,8,5,7,13,9,10,11,12,10,9,10,10,12,12
Lyndon John DYKES,Scotland,188,12,10,10,10,10,11,14,16,11,12,14,13,5,8,8,12
Che Sac Everton Fred ADAMS,Scotland,175,14,15,13,14,10,13,13,13,14,15,11,13,5,7,7,14
Ryan CHRISTIE,Scotland,178,15,10,14,12,12,14,5,12,13,13,9,13,7,13,11,15
Liam Patrick KELLY,Scotland,187,12,2,2,1,1,12,9,10,11,10,16,12,1,2,13,12
Jack William HENDRY,Scotland,195,10,5,10,7,4,10,14,15,10,14,16,9,14,13,14,13
Ross Cameron STEWART,Scotland,188,12,14,10,10,11,10,14,13,12,12,16,12,6,9,12,11
John Francis SOUTTAR,Scotland,186,13,8,12,9,10,12,16,14,12,13,14,12,13,13,12,14
Dominic John HYAM,Scotland,188,12,7,7,5,7,11,14,13,11,10,14,12,14,13,14,13
Ben Gannon DOAK,Scotland,173,14,11,17,8,13,13,5,10,16,14,6,14,7,6,5,11
George David Eric HIRST,Scotland,191,12,13,11,10,9,12,15,15,13,15,15,12,9,10,13,12
Lewis FERGUSON,Scotland,185,13,12,13,13,9,15,15,16,12,12,13,14,13,14,15,13
Lawrence SHANKLAND,Scotland,185,13,16,11,12,9,13,14,14,10,12,12,12,3,8,9,14
Craig Sinclair GORDON,Scotland,193,6,3,1,3,3,8,5,10,5,5,15,10,2,2,15,15
Nathan Kenneth PATTERSON,Scotland,183,11,11,12,11,14,11,8,12,15,15,11,11,10,13,11,11
Kenneth MCLEAN,Scotland,183,13,9,13,13,12,14,13,12,12,12,14,12,9,12,14,14
Anthony RALSTON,Scotland,183,10,10,11,7,11,12,13,16,12,12,10,15,12,12,12,11
Findlay Kenneth CURTIS,Scotland,180,14,14,9,13,12,11,8,4,12,10,13,14,7,5,5,14
Scott Fraser MCKENNA,Scotland,189,10,5,8,8,5,13,14,16,12,14,15,11,14,14,13,14
Yehvann Djibril Victor DIOUF,Senegal,188,10,1,3,3,2,8,12,13,11,13,14,12,4,10,13,12
Mamadou SARR,Senegal,194,10,6,9,5,6,11,14,15,13,14,14,7,12,13,11,12
Kalidou KOULIBALY,Senegal,186,11,9,10,6,6,13,18,18,9,13,17,10,16,17,16,14
Abdoulaye SECK,Senegal,192,9,9,9,8,9,9,13,17,13,13,16,13,12,14,10,12
Idrissa Gana GUEYE,Senegal,174,13,6,10,11,9,11,11,13,13,13,8,12,14,18,14,15
Ismaila Pathe CISS,Senegal,186,12,9,13,11,7,15,14,16,13,14,15,12,14,15,15,15
Assane DIAO,Senegal,185,13,15,14,10,10,12,11,12,17,15,13,14,4,8,6,9
Lamine CAMARA,Senegal,173,13,11,12,13,13,14,9,12,13,12,7,13,11,13,13,14
Cheikh Ahmadou Bamba Mbacke DIENG,Senegal,178,14,12,13,10,10,11,11,11,16,15,9,13,6,7,8,13
Sadio MANE,Senegal,175,17,13,17,12,11,13,12,10,15,12,8,15,7,8,7,15
Nicolas JACKSON,Senegal,187,14,13,15,12,9,12,13,14,16,16,14,14,8,9,8,15
Pape Cherif NDIAYE,Senegal,190,10,12,10,9,9,10,14,16,13,14,15,15,8,7,13,14
Iliman Cheikh Baroy NDIAYE,Senegal,180,15,15,17,12,11,12,12,12,14,14,8,13,5,10,8,11
Ismail Joshua JAKOBS,Senegal,184,11,8,9,8,10,9,9,13,14,17,13,11,13,13,13,10
Krepin DIATTA,Senegal,175,14,10,13,11,11,13,9,10,14,14,9,12,10,11,8,12
Edouard Osoque MENDY,Senegal,194,9,1,7,3,2,9,2,15,9,11,16,9,1,2,15,14
Pape Matar SARR,Senegal,185,14,9,13,10,7,14,10,15,14,13,12,15,12,13,14,16
Ismaila SARR,Senegal,185,9,12,14,12,11,12,9,13,15,17,14,14,6,7,7,13
Moussa NIAKHATE,Senegal,190,12,6,10,6,8,14,15,15,13,13,16,15,13,14,12,13
Ibrahim MBAYE,Senegal,185,11,9,11,7,9,11,12,12,13,13,12,12,12,12,12,13
Mouhamadou Habib Mbacke DIARRA,Senegal,179,14,9,13,14,10,14,9,15,13,15,10,14,12,12,12,13
